Date,trend,ticker,company_name,foreign_ratio,weighted_trend
2025-05-12,54.0,012450.KS,한화에어로스페이스,0.32,17.28
2025-05-13,44.0,012450.KS,한화에어로스페이스,0.32,14.08
2025-05-14,44.0,012450.KS,한화에어로스페이스,0.32,14.08
2025-05-15,36.0,012450.KS,한화에어로스페이스,0.32,11.52
2025-05-16,38.0,012450.KS,한화에어로스페이스,0.32,12.16
2025-05-17,17.0,012450.KS,한화에어로스페이스,0.32,5.44
2025-05-18,29.0,012450.KS,한화에어로스페이스,0.32,9.28
2025-05-19,32.0,012450.KS,한화에어로스페이스,0.32,10.24
2025-05-20,37.0,012450.KS,한화에어로스페이스,0.32,11.84
2025-05-21,35.0,012450.KS,한화에어로스페이스,0.32,11.200000000000001
2025-05-22,39.0,012450.KS,한화에어로스페이스,0.32,12.48
2025-05-23,42.0,012450.KS,한화에어로스페이스,0.32,13.44
2025-05-24,37.0,012450.KS,한화에어로스페이스,0.32,11.84
2025-05-25,31.0,012450.KS,한화에어로스페이스,0.32,9.92
2025-05-26,32.0,012450.KS,한화에어로스페이스,0.32,10.24
2025-05-27,43.0,012450.KS,한화에어로스페이스,0.32,13.76
2025-05-28,38.0,012450.KS,한화에어로스페이스,0.32,12.16
2025-05-29,39.0,012450.KS,한화에어로스페이스,0.32,12.48
2025-05-30,33.0,012450.KS,한화에어로스페이스,0.32,10.56
2025-05-31,17.0,012450.KS,한화에어로스페이스,0.32,5.44
2025-06-01,0.0,012450.KS,한화에어로스페이스,0.32,0.0
2025-06-02,30.0,012450.KS,한화에어로스페이스,0.32,9.6
2025-06-03,17.0,012450.KS,한화에어로스페이스,0.32,5.44
2025-06-04,30.0,012450.KS,한화에어로스페이스,0.32,9.6
2025-06-05,56.0,012450.KS,한화에어로스페이스,0.32,17.92
2025-06-06,0.0,012450.KS,한화에어로스페이스,0.32,0.0
2025-06-07,0.0,012450.KS,한화에어로스페이스,0.32,0.0
2025-06-08,31.0,012450.KS,한화에어로스페이스,0.32,9.92
2025-06-09,45.0,012450.KS,한화에어로스페이스,0.32,14.4
2025-06-10,49.0,012450.KS,한화에어로스페이스,0.32,15.68
2025-06-11,51.0,012450.KS,한화에어로스페이스,0.32,16.32
2025-06-12,48.0,012450.KS,한화에어로스페이스,0.32,15.36
2025-06-13,57.0,012450.KS,한화에어로스페이스,0.32,18.240000000000002
2025-06-14,22.0,012450.KS,한화에어로스페이스,0.32,7.04
2025-06-15,34.0,012450.KS,한화에어로스페이스,0.32,10.88
2025-06-16,66.0,012450.KS,한화에어로스페이스,0.32,21.12
2025-06-17,49.0,012450.KS,한화에어로스페이스,0.32,15.68
2025-06-18,49.0,012450.KS,한화에어로스페이스,0.32,15.68
2025-06-19,50.0,012450.KS,한화에어로스페이스,0.32,16.0
2025-06-20,62.0,012450.KS,한화에어로스페이스,0.32,19.84
2025-06-21,30.0,012450.KS,한화에어로스페이스,0.32,9.6
2025-06-22,45.0,012450.KS,한화에어로스페이스,0.32,14.4
2025-06-23,64.0,012450.KS,한화에어로스페이스,0.32,20.48
2025-06-24,44.0,012450.KS,한화에어로스페이스,0.32,14.08
2025-06-25,60.0,012450.KS,한화에어로스페이스,0.32,19.2
2025-06-26,43.0,012450.KS,한화에어로스페이스,0.32,13.76
2025-06-27,53.0,012450.KS,한화에어로스페이스,0.32,16.96
2025-06-28,18.0,012450.KS,한화에어로스페이스,0.32,5.76
2025-06-29,25.0,012450.KS,한화에어로스페이스,0.32,8.0
2025-06-30,49.0,012450.KS,한화에어로스페이스,0.32,15.68
2025-07-01,48.0,012450.KS,한화에어로스페이스,0.32,15.36
2025-07-02,58.0,012450.KS,한화에어로스페이스,0.32,18.56
2025-07-03,45.0,012450.KS,한화에어로스페이스,0.32,14.4
2025-07-04,69.0,012450.KS,한화에어로스페이스,0.32,22.080000000000002
2025-07-05,25.0,012450.KS,한화에어로스페이스,0.32,8.0
2025-07-06,30.0,012450.KS,한화에어로스페이스,0.32,9.6
2025-07-07,71.0,012450.KS,한화에어로스페이스,0.32,22.72
2025-07-08,41.0,012450.KS,한화에어로스페이스,0.32,13.120000000000001
2025-07-09,41.0,012450.KS,한화에어로스페이스,0.32,13.120000000000001
2025-07-10,48.0,012450.KS,한화에어로스페이스,0.32,15.36
2025-07-11,32.0,012450.KS,한화에어로스페이스,0.32,10.24
2025-07-12,19.0,012450.KS,한화에어로스페이스,0.32,6.08
2025-07-13,25.0,012450.KS,한화에어로스페이스,0.32,8.0
2025-07-14,45.0,012450.KS,한화에어로스페이스,0.32,14.4
2025-07-15,47.0,012450.KS,한화에어로스페이스,0.32,15.040000000000001
2025-07-16,55.0,012450.KS,한화에어로스페이스,0.32,17.6
2025-07-17,72.0,012450.KS,한화에어로스페이스,0.32,23.04
2025-07-18,67.0,012450.KS,한화에어로스페이스,0.32,21.44
2025-07-19,35.0,012450.KS,한화에어로스페이스,0.32,11.200000000000001
2025-07-20,40.0,012450.KS,한화에어로스페이스,0.32,12.8
2025-07-21,71.0,012450.KS,한화에어로스페이스,0.32,22.72
2025-07-22,60.0,012450.KS,한화에어로스페이스,0.32,19.2
2025-07-23,48.0,012450.KS,한화에어로스페이스,0.32,15.36
2025-07-24,63.0,012450.KS,한화에어로스페이스,0.32,20.16
2025-07-25,55.0,012450.KS,한화에어로스페이스,0.32,17.6
2025-07-26,42.0,012450.KS,한화에어로스페이스,0.32,13.44
2025-07-27,51.0,012450.KS,한화에어로스페이스,0.32,16.32
2025-07-28,69.0,012450.KS,한화에어로스페이스,0.32,22.080000000000002
2025-07-29,100.0,012450.KS,한화에어로스페이스,0.32,32.0
2025-07-30,75.0,012450.KS,한화에어로스페이스,0.32,24.0
2025-07-31,74.0,012450.KS,한화에어로스페이스,0.32,23.68
2025-08-01,45.0,012450.KS,한화에어로스페이스,0.32,14.4
2025-08-02,0.0,012450.KS,한화에어로스페이스,0.32,0.0
2025-08-03,28.0,012450.KS,한화에어로스페이스,0.32,8.96
2025-08-04,43.0,012450.KS,한화에어로스페이스,0.32,13.76
2025-08-05,30.0,012450.KS,한화에어로스페이스,0.32,9.6
