Date,trend_kor,trend_glb,ticker,company_name,foreign_ratio,weighted_trend
2025-05-12,65.0,60.0,066570.KS,LG전자,0.36,63.2
2025-05-13,65.0,34.0,066570.KS,LG전자,0.36,53.84
2025-05-14,65.0,45.0,066570.KS,LG전자,0.36,57.8
2025-05-15,65.0,53.0,066570.KS,LG전자,0.36,60.68
2025-05-16,65.0,45.0,066570.KS,LG전자,0.36,57.8
2025-05-17,65.0,28.000000000000004,066570.KS,LG전자,0.36,51.68
2025-05-18,65.0,24.0,066570.KS,LG전자,0.36,50.24
2025-05-19,64.57142857142857,52.0,066570.KS,LG전자,0.36,60.04571428571428
2025-05-20,64.14285714285714,66.0,066570.KS,LG전자,0.36,64.81142857142856
2025-05-21,63.714285714285715,62.0,066570.KS,LG전자,0.36,63.097142857142856
2025-05-22,63.28571428571429,53.0,066570.KS,LG전자,0.36,59.582857142857144
2025-05-23,62.857142857142854,44.0,066570.KS,LG전자,0.36,56.06857142857143
2025-05-24,62.42857142857143,22.0,066570.KS,LG전자,0.36,47.87428571428572
2025-05-25,62.0,34.0,066570.KS,LG전자,0.36,51.92
2025-05-26,62.28571428571429,60.0,066570.KS,LG전자,0.36,61.462857142857146
2025-05-27,62.57142857142857,61.0,066570.KS,LG전자,0.36,62.005714285714284
2025-05-28,62.857142857142854,42.0,066570.KS,LG전자,0.36,55.348571428571425
2025-05-29,63.142857142857146,60.0,066570.KS,LG전자,0.36,62.01142857142857
2025-05-30,63.42857142857143,48.0,066570.KS,LG전자,0.36,57.87428571428572
2025-05-31,63.714285714285715,32.0,066570.KS,LG전자,0.36,52.29714285714286
2025-06-01,64.0,22.0,066570.KS,LG전자,0.36,48.88
2025-06-02,65.42857142857143,54.0,066570.KS,LG전자,0.36,61.31428571428572
2025-06-03,66.85714285714286,32.0,066570.KS,LG전자,0.36,54.308571428571426
2025-06-04,68.28571428571429,47.0,066570.KS,LG전자,0.36,60.62285714285714
2025-06-05,69.71428571428571,53.0,066570.KS,LG전자,0.36,63.69714285714285
2025-06-06,71.14285714285714,36.0,066570.KS,LG전자,0.36,58.49142857142857
2025-06-07,72.57142857142857,28.999999999999996,066570.KS,LG전자,0.36,56.885714285714286
2025-06-08,74.0,49.0,066570.KS,LG전자,0.36,65.0
2025-06-09,74.57142857142857,79.0,066570.KS,LG전자,0.36,76.16571428571427
2025-06-10,75.14285714285714,64.0,066570.KS,LG전자,0.36,71.13142857142857
2025-06-11,75.71428571428571,57.99999999999999,066570.KS,LG전자,0.36,69.33714285714285
2025-06-12,76.28571428571429,69.0,066570.KS,LG전자,0.36,73.66285714285715
2025-06-13,76.85714285714286,51.0,066570.KS,LG전자,0.36,67.54857142857144
2025-06-14,77.42857142857143,53.0,066570.KS,LG전자,0.36,68.63428571428571
2025-06-15,78.0,57.99999999999999,066570.KS,LG전자,0.36,70.8
2025-06-16,77.14285714285714,78.0,066570.KS,LG전자,0.36,77.45142857142856
2025-06-17,76.28571428571429,73.0,066570.KS,LG전자,0.36,75.10285714285715
2025-06-18,75.42857142857143,68.0,066570.KS,LG전자,0.36,72.75428571428571
2025-06-19,74.57142857142857,53.0,066570.KS,LG전자,0.36,66.80571428571429
2025-06-20,73.71428571428571,56.99999999999999,066570.KS,LG전자,0.36,67.69714285714285
2025-06-21,72.85714285714286,35.0,066570.KS,LG전자,0.36,59.228571428571435
