Date,Close,High,Low,Open,Volume,trend
2025-05-19,821283.0,835966.2754027783,807578.6592217747,814430.8296108873,110989,14
2025-05-20,797789.8125,831071.8539632255,791916.514712203,829114.0467025421,183787,14
2025-05-21,832050.75,835966.3026343819,801705.3875756428,802684.2602349563,244255,14
2025-05-22,826297.6875,836217.2275660265,815386.193427371,830265.5035264106,152390,14
2025-05-23,823321.8125,829273.5364457831,806458.5946536144,826297.6744728915,136055,14
2025-05-26,826297.6875,826297.6875,791579.2972689077,792571.2512755103,169509,13
2025-05-27,879863.25,881847.1581172491,827289.6848928974,835225.317361894,369030,13
2025-05-28,825305.75,885814.9456129808,820345.9798677885,876887.359375,320783,13
2025-05-29,850104.625,864983.9358226372,826297.7276837807,841177.0385064178,234459,13
2025-05-30,804474.6875,845144.8011713933,804474.6875,844152.8471794081,436671,13
2025-06-02,828281.625,832249.4411676647,814394.2684131736,815386.2224550898,156208,11
2025-06-04,838201.125,838201.125,804474.6892011834,831257.4470414201,213653,11
2025-06-05,897718.375,917557.4551104973,837209.1806629834,841176.9966850829,512018,11
2025-06-09,872919.5625,887798.8732244318,855064.3896306818,883831.05703125,284593,21
2025-06-10,928469.0,942356.3568376069,875895.4348290599,896726.4700854701,337596,21
2025-06-11,897718.375,934420.6732044199,893750.5589779005,928468.9491712707,414770,21
2025-06-12,945332.1875,950291.9576337881,898710.3482423924,911605.7505902414,442140,21
2025-06-13,937396.5625,974098.8617724868,920533.3439153439,936404.6084656084,493711,21
2025-06-16,962195.4375,979058.656507732,930452.9076030928,955251.7590850516,326298,20
2025-06-17,946324.125,956243.6650943396,932436.7688679246,946324.125,270383,20
2025-06-18,919541.375,961203.4437702266,919541.375,956243.6736785329,257813,20
2025-06-19,926485.0625,930452.8786134904,903670.1198474305,918549.4302730194,198303,20
2025-06-20,930452.875,957235.6336620469,909621.8404850746,916565.5186567163,419837,20
2025-06-23,911605.75,945332.1868879216,910613.7959738846,939380.4627312296,243428,19
2025-06-24,887798.875,905654.0479050279,864983.9318435754,897718.4155027933,281041,19
2025-06-25,849112.625,892758.6010514018,849112.625,889782.7390478972,313167,19
2025-06-26,870935.625,877879.3031036446,834233.326452164,863991.9468963554,322082,19
2025-06-27,882839.0625,918549.4066011235,870935.6144662921,890774.6945224719,334673,19
2025-06-30,841177.0,869943.6662735849,841177.0,869943.6662735849,260471,15
2025-07-01,832249.4375,860024.1505512515,829273.5753873659,846136.7940256257,185116,15
2025-07-02,812410.375,831257.5021367521,778683.936965812,826297.7318376069,326459,15
2025-07-03,810426.4375,854072.4145501836,806458.6214045287,839193.1041921665,274396,15
2025-07-04,772732.1875,811418.3945763799,768764.371389602,803482.7623555841,297249,15
