Model,Set,Accuracy,Precision,Recall,F1,AUC
lr,Train,0.5380859375,0.5380859375,1.0,0.6996825396825397,0.5
lr,Val,0.5181818181818182,0.5181818181818182,1.0,0.6826347305389222,0.5
lr,Test,0.5181818181818182,0.5181818181818182,1.0,0.6826347305389222,0.5
rf,Train,0.640625,0.6072684642438453,0.9401088929219601,0.7378917378917379,0.7325600580148336
rf,Val,0.5227272727272727,0.5279503105590062,0.7456140350877193,0.6181818181818182,0.5221780867262495
rf,Test,0.5,0.5136986301369864,0.6578947368421053,0.5769230769230769,0.4923866269447203
xgb,Train,0.578125,0.56153050672182,0.985480943738657,0.7154150197628458,0.7309063282979629
xgb,Val,0.55,0.5369458128078818,0.956140350877193,0.6876971608832808,0.5124131082423038
xgb,Test,0.55,0.538860103626943,0.9122807017543859,0.6775244299674267,0.5076133730552798
ensemble,Train,0.5537109375,0.5467196819085487,0.9981851179673321,0.7064868336544637,0.7395049554337108
ensemble,Val,0.5136363636363637,0.5159817351598174,0.9912280701754386,0.6786786786786787,0.5217643164515061
ensemble,Test,0.5136363636363637,0.5162790697674419,0.9736842105263158,0.6747720364741642,0.4961933134723602
